Baffin Bay Sea Ice Area (1978-2020)
Units: million square km
Date,Value
197811,0.66
197812,0.81
197901,0.94
197902,0.99
197903,1.11
197904,0.97
197905,0.83
197906,0.64
197907,0.36
197908,0.09
197909,0.04
197910,0.13
197911,0.56
197912,0.80
198001,0.95
198002,1.03
198003,1.10
198004,1.04
198005,0.86
198006,0.64
198007,0.38
198008,0.08
198009,0.03
198010,0.15
198011,0.49
198012,0.75
198101,0.99
198102,1.10
198103,0.99
198104,1.01
198105,0.86
198106,0.60
198107,0.27
198108,0.05
198109,0.04
198110,0.08
198111,0.50
198112,0.77
198201,0.92
198202,1.21
198203,1.29
198204,1.16
198205,1.01
198206,0.77
198207,0.34
198208,0.08
198209,0.06
198210,0.24
198211,0.65
198212,1.02
198301,1.41
198302,1.49
198303,1.54
198304,1.43
198305,1.08
198306,0.79
198307,0.49
198308,0.17
198309,0.09
198310,0.26
198311,0.69
198312,0.98
198401,1.42
198402,1.57
198403,1.47
198404,1.36
198405,1.12
198406,0.76
198407,0.40
198408,0.07
198409,0.04
198410,0.11
198411,0.48
198412,0.96
198501,1.21
198502,1.24
198503,1.32
198504,1.16
198505,0.94
198506,0.60
198507,0.19
198508,0.04
198509,0.04
198510,0.09
198511,0.45
198512,0.67
198601,0.94
198602,1.06
198603,1.14
198604,1.02
198605,0.81
198606,0.62
198607,0.41
198608,0.13
198609,0.04
198610,0.33
198611,0.69
198612,0.94
198701,1.13
198702,1.19
198703,1.16
198704,1.17
198705,0.94
198706,0.72
198707,0.39
198708,0.06
198709,0.03
198710,0.22
198711,0.56
198802,1.20
198803,1.15
198804,1.02
198805,0.87
198806,0.63
198807,0.29
198808,0.08
198809,0.02
198810,0.06
198811,0.47
198812,0.79
198901,1.05
198902,1.27
198903,1.28
198904,1.15
198905,0.89
198906,0.68
198907,0.34
198908,0.09
198909,0.05
198910,0.21
198911,0.59
198912,0.83
199001,1.19
199002,1.41
199003,1.45
199004,1.25
199005,1.03
199006,0.71
199007,0.29
199008,0.04
199009,0.04
199010,0.26
199011,0.65
199012,0.90
199101,1.29
199102,1.44
199103,1.36
199104,1.28
199105,1.07
199106,0.75
199107,0.33
199108,0.04
199109,0.04
199110,0.12
199111,0.56
199112,0.86
199201,1.15
199202,1.37
199203,1.31
199204,1.14
199205,1.03
199206,0.71
199207,0.41
199208,0.11
199209,0.06
199210,0.10
199211,0.56
199212,0.95
199301,1.43
199302,1.55
199303,1.57
199304,1.40
199305,1.06
199306,0.69
199307,0.39
199308,0.11
199309,0.06
199310,0.17
199311,0.66
199312,0.93
199401,1.14
199402,1.42
199403,1.35
199404,1.18
199405,0.90
199406,0.60
199407,0.28
199408,0.05
199409,0.04
199410,0.20
199411,0.51
199412,0.83
199501,1.09
199502,1.22
199503,1.28
199504,1.11
199505,0.81
199506,0.56
199507,0.31
199508,0.05
199509,0.04
199510,0.22
199511,0.49
199512,0.76
199601,1.02
199602,1.16
199603,1.11
199604,0.99
199605,0.83
199606,0.72
199607,0.46
199608,0.20
199609,0.13
199610,0.36
199611,0.63
199612,0.74
199701,0.87
199702,1.18
199703,1.22
199704,1.05
199705,0.85
199706,0.60
199707,0.27
199708,0.06
199709,0.06
199710,0.26
199711,0.53
199712,0.71
199801,0.96
199802,1.11
199803,1.12
199804,1.02
199805,0.83
199806,0.53
199807,0.21
199808,0.04
199809,0.04
199810,0.11
199811,0.43
199812,0.66
199901,0.93
199902,1.11
199903,1.11
199904,0.98
199905,0.88
199906,0.63
199907,0.28
199908,0.07
199909,0.05
199910,0.14
199911,0.59
199912,0.77
200001,0.99
200002,1.16
200003,1.20
200004,1.01
200005,0.86
200006,0.54
200007,0.21
200008,0.04
200009,0.04
200010,0.12
200011,0.43
200012,0.67
200101,0.94
200102,1.15
200103,1.07
200104,1.01
200105,0.85
200106,0.56
200107,0.22
200108,0.04
200109,0.04
200110,0.10
200111,0.43
200112,0.69
200201,0.85
200202,1.05
200203,1.13
200204,1.02
200205,0.81
200206,0.51
200207,0.20
200208,0.04
200209,0.03
200210,0.06
200211,0.30
200212,0.63
200301,0.83
200302,1.06
200303,1.13
200304,1.01
200305,0.77
200306,0.41
200307,0.14
200308,0.02
200309,0.03
200310,0.05
200311,0.36
200312,0.64
200401,0.80
200402,0.92
200403,1.00
200404,0.93
200405,0.73
200406,0.50
200407,0.24
200408,0.05
200409,0.03
200410,0.05
200411,0.47
200412,0.71
200501,0.97
200502,1.07
200503,0.95
200504,0.88
200505,0.75
200506,0.51
200507,0.21
200508,0.03
200509,0.03
200510,0.12
200511,0.44
200512,0.63
200601,0.89
200602,1.00
200603,0.90
200604,0.88
200605,0.71
200606,0.44
200607,0.14
200608,0.03
200609,0.03
200610,0.06
200611,0.27
200612,0.65
200701,0.87
200702,0.95
200703,1.02
200704,1.01
200705,0.85
200706,0.53
200707,0.17
200708,0.03
200709,0.03
200710,0.08
200711,0.45
200712,0.75
200801,1.12
200802,1.30
200803,1.34
200804,1.11
200805,0.81
200806,0.47
200807,0.18
200808,0.03
200809,0.03
200810,0.10
200811,0.52
200812,0.77
200901,0.95
200902,1.11
200903,1.25
200904,1.12
200905,0.85
200906,0.46
200907,0.16
200908,0.03
200909,0.03
200910,0.08
200911,0.50
200912,0.67
201001,0.80
201002,0.88
201003,0.98
201004,0.94
201005,0.75
201006,0.45
201007,0.16
201008,0.02
201009,0.04
201010,0.08
201011,0.28
201012,0.50
201101,0.62
201102,0.81
201103,0.96
201104,0.96
201105,0.76
201106,0.50
201107,0.10
201108,0.02
201109,0.02
201110,0.14
201111,0.48
201112,0.73
201201,0.99
201202,1.11
201203,1.28
201204,1.08
201205,0.83
201206,0.42
